,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
75,166421,tt0172156,movie,Bad Boys II,Bad Boys II,0,2003.0,147.0,"Action,Comedy,Crime",40,20,4,130000000,273339556,106204,561,18,13
76,166747,tt0172495,movie,Gladiator,Gladiator,0,2000.0,155.0,"Action,Adventure,Drama",40,12,4,103000000,457640436,2822907,10162,463,569
77,167790,tt0173568,movie,The Sexy Mysterious Murders,Kiss Kiss Bang Bang,0,2000.0,75.0,Thriller,29,4,4,15000000,15785148,1934684,9133,280,362
78,168049,tt0173840,movie,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,0,2001.0,106.0,"Action,Adventure,Animation",40,24,8,137000000,85131830,240205,None,None,218
79,169296,tt0175142,movie,Scary Movie,Scary Movie,0,2000.0,88.0,Comedy,40,24,4,19000000,278019771,327130,1673,83,69
80,170850,tt0176783,movie,Gossip,Gossip,0,2000.0,90.0,"Drama,Mystery,Thriller",40,8,4,14000000,5108820,155370,555,31,43
81,171980,tt0177971,movie,The Perfect Storm,The Perfect Storm,0,2000.0,130.0,"Action,Adventure,Drama",40,8,4,120000000,325756637,787605,1563,124,134
82,172048,tt0178043,movie,Stranger Than Fiction,Stranger Than Fiction,0,2000.0,90.0,"Comedy,Thriller",40,8,4,30000000,53653224,131819,983,26,81
83,173045,tt0179098,movie,Moonlight Mile,Moonlight Mile,0,2002.0,117.0,"Drama,Romance",40,4,4,21000000,10011050,22107,174,5,12
84,173356,tt0179435,movie,The Proposal,The Proposal,0,2001.0,91.0,"Crime,Drama,Thriller",40,4,4,40000000,317375031,1476180,12734,188,221
85,173528,tt0179626,movie,15 Minutes,15 Minutes,0,2001.0,120.0,"Action,Crime,Drama",40,4,4,60000000,56359980,85770,186,15,21
86,173907,tt0180052,movie,The Adventures of Pluto Nash,The Adventures of Pluto Nash,0,2002.0,95.0,"Action,Comedy,Sci-Fi",40,4,4,100000000,7103973,89833,467,49,134
87,173927,tt0180073,movie,Quills,Quills,0,2000.0,124.0,"Biography,Drama",40,4,4,13500000,7060876,991090,1613,72,272
88,173947,tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000.0,102.0,Drama,40,8,4,4500000,7390108,8330379,33924,1753,4825
89,175312,tt0181536,movie,Finding Forrester,Finding Forrester,0,2000.0,136.0,Drama,39,4,4,43000000,80049764,75696,332,10,16
90,175450,tt0181689,movie,Minority Report,Minority Report,0,2002.0,145.0,"Action,Crime,Mystery",38,10,4,102000000,358372926,1791911,6212,273,428
91,175495,tt0181739,movie,Osmosis Jones,Osmosis Jones,0,2001.0,95.0,"Action,Adventure,Animation",40,4,8,75000000,13596911,429911,2670,87,0
