,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue
3157507,tt1921152,movie,Truth,Truth,0,2011.0,99.0,"Drama,Romance",33,8,4,9600000,2541554
3159000,tt1922685,movie,Phantom,Phantom,0,2013.0,98.0,"Drama,History,Thriller",40,4,4,10000000,1034589
3159091,tt1922777,movie,Sinister,Sinister,0,2012.0,110.0,"Horror,Mystery,Thriller",40,8,4,3000000,77712439
3160672,tt1924396,movie,The Best Offer,La migliore offerta,0,2013.0,131.0,"Crime,Drama,Mystery",39,4,4,13500000,19255873
3160704,tt1924429,movie,Trance,Trance,0,2013.0,101.0,"Crime,Drama,Mystery",40,8,4,20000000,24261569
3160710,tt1924435,movie,Let's Be Cops,Let's Be Cops,0,2014.0,104.0,"Action,Comedy,Crime",40,8,4,17000000,136621271
3161680,tt1925431,movie,Fire with Fire,Fire with Fire,0,2012.0,97.0,"Action,Crime,Drama",40,8,4,20000000,4636169
3167389,tt1931435,movie,The Big Wedding,The Big Wedding,0,2013.0,89.0,"Comedy,Drama,Romance",40,12,4,35000000,21819348
3167486,tt1931533,movie,Seven Psychopaths,Seven Psychopaths,0,2012.0,110.0,"Comedy,Crime",40,4,4,15000000,19422261
3168689,tt1932767,movie,What Maisie Knew,What Maisie Knew,0,2012.0,99.0,Drama,40,12,8,6000000,1066471
3170122,tt1934226,movie,Dark Blue,Dark Blue,0,2011.0,85.0,"Crime,Drama",32,4,4,15000000,9237470
3171047,tt1935179,movie,Mud,Mud,0,2012.0,130.0,Drama,40,4,4,10000000,21587700
3175367,tt1939659,movie,Carrie,Carrie,0,2013.0,100.0,"Drama,Horror",40,12,4,31800000,116194288
3180454,tt1945037,movie,Begin Again,Begin Again,0,2013.0,68.0,"Drama,Family",24,8,8,8000000,63464861
3180479,tt1945062,movie,About Cherry,About Cherry,0,2012.0,98.0,Drama,39,8,4,2500000,3003
3186294,tt1951181,movie,The Immigrant,The Immigrant,0,2013.0,120.0,"Drama,Romance",40,8,4,16000000,5867686
3186324,tt1951212,movie,Out of Time,Out of Time,0,2011.0,98.0,"Drama,Mystery,Thriller",27,6,4,50000000,55495563
3186372,tt1951261,movie,The Hangover Part III,The Hangover Part III,0,2013.0,100.0,"Comedy,Crime",40,16,4,103000000,362000072
3186375,tt1951264,movie,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,0,2013.0,146.0,"Action,Adventure,Mystery",40,12,4,130000000,847423452
3186376,tt1951265,movie,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,0,2014.0,123.0,"Action,Adventure,Sci-Fi",40,12,4,125000000,752100229
3186377,tt1951266,movie,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,0,2015.0,137.0,"Action,Adventure,Sci-Fi",40,12,4,160000000,650523427
3189622,tt1954701,movie,A Coffee in Berlin,Oh Boy,0,2012.0,86.0,"Comedy,Drama",37,4,4,300000,2750275
3191511,tt1956620,movie,Sex Tape,Sex Tape,0,2014.0,94.0,"Comedy,Romance",40,12,4,40000000,126069509
3194314,tt1959490,movie,Noah,Noah,0,2014.0,138.0,"Action,Adventure,Drama",40,8,4,125000000,362637473
3199100,tt1964418,movie,Tomorrowland,Tomorrowland,0,2015.0,130.0,"Action,Adventure,Family",40,12,4,190000000,209035668
3199430,tt1964758,movie,Hamlet,Hamlet,0,2011.0,88.0,Drama,40,8,4,2000000,22279200
3202140,tt1967545,movie,Labor Day,Labor Day,0,2013.0,111.0,"Drama,Romance,Thriller",39,8,4,18000000,20275812
3203625,tt1969062,movie,Infinitely Polar Bear,Infinitely Polar Bear,0,2014.0,90.0,"Comedy,Drama,Romance",37,4,4,6700000,1430655
3206979,tt1972571,movie,A Most Wanted Man,A Most Wanted Man,0,2014.0,122.0,"Crime,Drama,Thriller",40,12,4,15000000,31554855
3207185,tt1972779,movie,The Best of Me,The Best of Me,0,2014.0,118.0,"Drama,Romance",37,12,4,26000000,35926213
3210308,tt1976009,movie,Victor Frankenstein,Victor Frankenstein,0,2015.0,110.0,"Drama,Horror,Sci-Fi",40,8,4,40000000,34227298
3213458,tt1979320,movie,Rush,Rush,0,2013.0,123.0,"Biography,Drama,Sport",40,4,4,38000000,90247624
3213524,tt1979388,movie,The Good Dinosaur,The Good Dinosaur,0,2015.0,93.0,"Adventure,Animation,Comedy",38,28,4,175000000,331926147
3214311,tt1980209,movie,Pain & Gain,Pain & Gain,0,2013.0,129.0,"Action,Comedy,Crime",38,10,4,25000000,86175291
3214994,tt1980929,movie,Begin Again,Begin Again,0,2013.0,104.0,"Comedy,Drama,Music",40,4,4,8000000,63464861
3215167,tt1981107,movie,The Young and Prodigious T.S. Spivet,The Young and Prodigious T.S. Spivet,0,2013.0,105.0,"Action,Adventure,Comedy",40,12,4,33000000,9494789
3215174,tt1981115,movie,Thor: The Dark World,Thor: The Dark World,0,2013.0,112.0,"Action,Adventure,Fantasy",40,36,4,170000000,479765000
3215716,tt1981677,movie,Pitch Perfect,Pitch Perfect,0,2012.0,112.0,"Comedy,Music,Romance",38,8,4,17000000,115350426
3218970,tt1985019,movie,Austenland,Austenland,0,2013.0,97.0,"Comedy,Romance",40,8,4,4900000,2159041
3219878,tt1985966,movie,Cloudy With a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,0,2013.0,95.0,"Adventure,Animation,Comedy",39,25,8,78000000,248384621
3221451,tt1987632,movie,Rush,Rush,0,2011.0,87.0,"Comedy,Romance",32,8,8,38000000,90247624
3224003,tt1990314,movie,Robot & Frank,Robot & Frank,0,2012.0,89.0,"Comedy,Crime,Drama",40,4,4,2500000,3325038
3229753,tt1996264,movie,"For a Good Time, Call...","For a Good Time, Call...",0,2012.0,85.0,Comedy,36,6,4,850000,1243961
3231709,tt1998280,movie,Metro,Metro,0,2008.0,120.0,Drama,18,0,4,55000000,31987563
3236048,tt2002718,movie,Machete Kills,Machete Kills,0,2013.0,107.0,"Action,Crime,Thriller",40,12,4,12000000,15008161
3237714,tt2004420,movie,Neighbors,Neighbors,0,2014.0,97.0,Comedy,40,8,4,26500000,298073607
3237726,tt2004432,movie,Wolf Creek 2,Wolf Creek 2,0,2013.0,106.0,"Action,Horror,Thriller",40,8,4,8000000,9630444
3238628,tt2005374,movie,The Frozen Ground,The Frozen Ground,0,2013.0,105.0,"Crime,Drama,Thriller",40,4,4,27220000,5496951
3239278,tt2006051,movie,Ali,Ali,0,2012.0,88.0,Drama,40,8,4,107000000,87713825
3239521,tt2006295,movie,The 33,The 33,0,2015.0,127.0,"Biography,Drama,History",39,19,4,25000000,24902723
3244179,tt2011159,movie,No Good Deed,No Good Deed,0,2014.0,84.0,"Action,Crime,Drama",40,4,4,13200000,53830415
3245652,tt2012665,movie,Repentance,Repentance,0,2013.0,90.0,"Drama,Horror,Thriller",40,8,4,5000000,1189612
3248204,tt2015323,movie,Brothers,Brothers,0,2012.0,56.0,"Comedy,Drama",10,0,6,26000000,43318349
3248262,tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,2014.0,121.0,"Action,Adventure,Comedy",40,44,4,170000000,773312399
3249757,tt2016940,movie,Man of Tai Chi,Man of Tai Chi,0,2013.0,105.0,"Action,Drama",37,4,4,25000000,2054941
3249834,tt2017020,movie,The Smurfs 2,The Smurfs 2,0,2013.0,105.0,"Adventure,Animation,Comedy",40,24,4,105000000,347434178
3249852,tt2017038,movie,All Is Lost,All Is Lost,0,2013.0,106.0,"Action,Adventure,Drama",40,4,4,9000000,6108720
3256145,tt2023453,movie,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,0,2012.0,94.0,"Comedy,Family",40,12,4,22000000,77112176
3256272,tt2023587,movie,Mama,Mama,0,2013.0,100.0,"Horror,Thriller",40,12,4,15000000,146497771
3257094,tt2024432,movie,Identity Thief,Identity Thief,0,2013.0,111.0,"Comedy,Crime,Drama",40,8,4,35000000,173965010
3257130,tt2024469,movie,Non-Stop,Non-Stop,0,2014.0,106.0,"Action,Mystery,Thriller",40,12,4,50000000,222809600
3257202,tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013.0,134.0,"Biography,Drama,History",38,6,4,20000000,187000000
3265827,tt2033424,movie,The Outsiders,The Outsiders,0,2011.0,110.0,Drama,12,6,3,10000000,25697647
3266497,tt2034139,movie,The Last Exorcism 2,The Last Exorcism Part II,0,2013.0,88.0,"Horror,Thriller",40,16,4,5000000,15179302
3271524,tt2039338,movie,Flatliners,Flatliners,0,2017.0,109.0,"Drama,Horror,Mystery",40,8,4,26000000,61489265
3271578,tt2039393,movie,The Gambler,The Gambler,0,2014.0,111.0,"Crime,Drama,Thriller",40,8,4,25000000,39171130
3274555,tt2042568,movie,Inside Llewyn Davis,Inside Llewyn Davis,0,2013.0,104.0,"Comedy,Drama,Music",36,8,8,11000000,32935319
3276767,tt2044843,movie,Possession,Possession,0,2012.0,90.0,"Drama,Mystery",40,4,4,25000000,10113733
3281227,tt2049386,movie,Alice in Wonderland,Alice in Wonderland,0,2010.0,99.0,"Fantasy,Musical",21,0,4,221000000,1025467110
3283685,tt2051894,movie,Home Run,Home Run,0,2013.0,113.0,"Drama,Sport",40,16,4,1200000,2861020
3285227,tt2053463,movie,Side Effects,Side Effects,0,2013.0,106.0,"Crime,Drama,Mystery",40,4,4,30000000,63372757
3289056,tt2057392,movie,Eye in the Sky,Eye in the Sky,0,2015.0,102.0,"Action,Drama,Thriller",40,4,4,13000000,32848185
3289745,tt2058107,movie,The Railway Man,The Railway Man,0,2013.0,116.0,"Biography,Drama,Romance",38,10,4,18000000,22309223
3290301,tt2058673,movie,Point Break,Point Break,0,2015.0,114.0,"Action,Crime,Sport",40,12,4,129000000,217250669
3294408,tt2063008,movie,The Road,The Road,0,2011.0,110.0,"Crime,Drama,Horror",40,8,4,32000000,27635305
3295136,tt2063781,movie,Smashed,Smashed,0,2012.0,81.0,Drama,40,8,4,500000,376597
3296190,tt2064862,movie,Miracle,Miracle,0,2011.0,74.0,"Drama,Family,Romance",13,1,1,28000000,64445708
3301083,tt2069843,movie,Maniac,Maniac,0,2011.0,160.0,"Action,Horror,Thriller",4,1,1,6350000,31081
3302653,tt2071483,movie,Inside Out,Inside Out,0,2011.0,59.0,Family,32,4,0,175000000,853708609
3304139,tt2073049,movie,Oscar,Oscar,0,2011.0,55.0,"Drama,Mystery,Thriller",6,4,4,35000000,23562716
3311204,tt2080374,movie,Steve Jobs,Steve Jobs,0,2015.0,122.0,"Biography,Drama",40,8,4,30000000,34441873
3314079,tt2083347,movie,Blood Eclipse,Sunshine,0,2011.0,87.0,Drama,23,7,4,50000000,32017803
3314087,tt2083355,movie,The Best Man Holiday,The Best Man Holiday,0,2013.0,123.0,"Comedy,Drama",40,4,4,17000000,71625195
3315579,tt2084970,movie,The Imitation Game,The Imitation Game,0,2014.0,114.0,"Biography,Drama,Thriller",40,8,4,14000000,233555708
3315598,tt2084989,movie,Upstream Color,Upstream Color,0,2013.0,96.0,"Drama,Sci-Fi",31,4,4,100000,444098
3318530,tt2088003,movie,Big Game,Big Game,0,2014.0,90.0,"Action,Adventure",40,8,4,8500000,7500000
3321853,tt2091436,movie,The Gift,The Gift,0,2011.0,54.0,"Drama,Romance",26,3,3,15000000,70987295
3321889,tt2091473,movie,Promised Land,Promised Land,0,2012.0,106.0,Drama,40,12,4,15000000,8138788
3326813,tt2096672,movie,Dumb and Dumber To,Dumb and Dumber To,0,2014.0,109.0,Comedy,40,24,8,40000000,169837010
3326814,tt2096673,movie,Inside Out,Inside Out,0,2015.0,95.0,"Adventure,Animation,Comedy",40,32,8,175000000,853708609
3329599,tt2099633,movie,Entity,Hostage,0,2013.0,107.0,"Drama,Horror,Thriller",39,3,3,52000000,77944725
3330535,tt2100633,movie,Twisted,Twisted,0,2007.0,98.0,"Comedy,Drama",20,5,4,50000000,25195000
3330576,tt2100675,movie,Turbulence,Turbulence,0,2011.0,90.0,Comedy,36,4,4,55000000,11466088
3331322,tt2101441,movie,Spring Breakers,Spring Breakers,0,2012.0,94.0,"Crime,Drama",40,4,4,5000000,31724284
3331353,tt2101473,movie,The Physician,The Physician,0,2013.0,155.0,"Adventure,Drama,History",40,20,4,32000000,57284237
3333048,tt2103217,movie,Maniac,Maniac,0,2012.0,89.0,"Horror,Thriller",39,12,4,6350000,31081
3333084,tt2103254,movie,Tammy,Tammy,0,2014.0,97.0,"Comedy,Romance",40,8,4,20000000,100525432
3333108,tt2103281,movie,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,0,2014.0,130.0,"Action,Adventure,Drama",40,16,4,170000000,708200000
3334764,tt2105043,movie,Upside Down,Upside Down,0,2012.0,81.0,Drama,25,0,4,60000000,8106475
3335999,tt2106361,movie,Into the Storm,Into the Storm,0,2014.0,89.0,"Action,Adventure,Drama",40,4,4,50000000,160602194
3338595,tt2109176,movie,Noah,Noah,0,2011.0,105.0,"Drama,Thriller",20,1,1,125000000,362637473
